sku,listing,part_type,current_category_id,current_category,vehicles_we_pushed,vehicles_displayed,suggested_category_id,suggested_category,actionable
2239,https://www.ebay.com/itm/407129671428,Liftgate Trunk Lid Badge / Letters,33643,Car & Truck Parts & Accessories > Exterior Parts & Accessories > Emble,4,0,,Emblems - not vehicle-fitment rendered,no good target
2242,https://www.ebay.com/itm/407129692716,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),4,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
2268,https://www.ebay.com/itm/407136600053,Radio CD Player,174119,(not in our tree - In-Car Tech / Performance branch),9,0,,car audio - head units,no good target
2273,https://www.ebay.com/itm/407144757537,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),9,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2274,https://www.ebay.com/itm/407050368203,Transfer Case Module,107062,(not in our tree - In-Car Tech / Performance branch),9,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2275,https://www.ebay.com/itm/407144758433,Antenna Telematics Control Module,107062,(not in our tree - In-Car Tech / Performance branch),9,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2298,https://www.ebay.com/itm/407144757638,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),9,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2299,https://www.ebay.com/itm/407144757571,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),9,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2300,https://www.ebay.com/itm/407144757677,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),9,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2428,https://www.ebay.com/itm/407129573427,Bdc Body Domain Fem Control Module w/ Key,107062,(not in our tree - In-Car Tech / Performance branch),5,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2430,https://www.ebay.com/itm/407129756631,Cooling Fan Relay Module,107062,(not in our tree - In-Car Tech / Performance branch),5,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
246,https://www.ebay.com/itm/407127926127,Monitor Display Screen,169395,(not in our tree - In-Car Tech / Performance branch),10,0,,in-car screens,no good target
2472,https://www.ebay.com/itm/407144764202,Car Stereo Radio Reciever Headunit Head Unit,174119,(not in our tree - In-Car Tech / Performance branch),11,0,,car audio - head units,no good target
2479,https://www.ebay.com/itm/407144764040,Steering Wheel Vibration Generator Motor w/ Module SET,107062,(not in our tree - In-Car Tech / Performance branch),11,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2486,https://www.ebay.com/itm/407144764586,Monitor Display Screen,169395,(not in our tree - In-Car Tech / Performance branch),11,0,,in-car screens,no good target
2549,https://www.ebay.com/itm/407144763920,EKP Fuel Pump Module,107062,(not in our tree - In-Car Tech / Performance branch),11,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2636,https://www.ebay.com/itm/407144764186,Antenna Telematics Control Module,107062,(not in our tree - In-Car Tech / Performance branch),11,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2639,https://www.ebay.com/itm/407144763091,Suspension Module,107062,(not in our tree - In-Car Tech / Performance branch),11,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2647,https://www.ebay.com/itm/407144765082,Cooling Fan Relay Module,107062,(not in our tree - In-Car Tech / Performance branch),11,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2689,https://www.ebay.com/itm/407144763461,Speaker,179671,(not in our tree - In-Car Tech / Performance branch),11,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
2810,https://www.ebay.com/itm/407144978530,Car Stereo Radio Reciever Headunit Head Unit,174119,(not in our tree - In-Car Tech / Performance branch),7,0,,car audio - head units,no good target
2836,https://www.ebay.com/itm/407144978644,Monitor Display Screen,169395,(not in our tree - In-Car Tech / Performance branch),7,0,,in-car screens,no good target
2840,https://www.ebay.com/itm/407144978610,Bdc Body Domain Fem Control Module w/ Key,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2865,https://www.ebay.com/itm/407144978496,EKP Fuel Pump Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2970,https://www.ebay.com/itm/407144978836,PDC Park Assist Control Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2971,https://www.ebay.com/itm/407144978335,Surround View Camera Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
2974,https://www.ebay.com/itm/407144978460,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),7,0,,car audio - amplifiers,no good target
3032,https://www.ebay.com/itm/407144978152,Surround View Camera Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
3210,https://www.ebay.com/itm/407008720945,Wireless Phone Charger Module,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
3215,https://www.ebay.com/itm/407144754544,Front Bumper Radiator Air Flap Shutter Motor Actuator,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
32479,https://www.ebay.com/itm/407151924385,Front Left Right Door Triangle Corner Speaker Assemblys SET,179671,(not in our tree - In-Car Tech / Performance branch),7,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
32704,https://www.ebay.com/itm/407151924354,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),7,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
3278,https://www.ebay.com/itm/407137206948,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
3305,https://www.ebay.com/itm/407144754691,EKP Fuel Pump Module,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
3309,https://www.ebay.com/itm/407008975089,Surround View Camera Module,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
3453,https://www.ebay.com/itm/407011348768,Suspension Module,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
3454,https://www.ebay.com/itm/407144754638,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - amplifiers,no good target
3455,https://www.ebay.com/itm/407144754137,PDC Park Assist Control Module,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
3457,https://www.ebay.com/itm/407145123540,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - amplifiers,no good target
3634,https://www.ebay.com/itm/407129756394,Cooling Fan Relay Module,107062,(not in our tree - In-Car Tech / Performance branch),14,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
3716,https://www.ebay.com/itm/407145119146,Decklid Liftgate Trunk Module,107062,(not in our tree - In-Car Tech / Performance branch),19,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
3721,https://www.ebay.com/itm/407145118894,PCU Power Voltage Module,107062,(not in our tree - In-Car Tech / Performance branch),19,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
3724,https://www.ebay.com/itm/407145119541,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),19,0,,car audio - amplifiers,no good target
4984,https://www.ebay.com/itm/407128011128,FRM Headlight Footwell Module,107062,(not in our tree - In-Car Tech / Performance branch),11,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
52352,https://www.ebay.com/itm/407131680735,Front Bumper Radiator Air Flap Shutter Motor Actuator,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
52397,https://www.ebay.com/itm/407141598341,Radio Control Panel,174119,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - head units,no good target
52406,https://www.ebay.com/itm/407151924226,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
52407,https://www.ebay.com/itm/407151924287,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
52408,https://www.ebay.com/itm/407141599415,Speaker,179671,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
52409,https://www.ebay.com/itm/407141610864,Speaker,179671,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
52410,https://www.ebay.com/itm/407151924379,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
52413,https://www.ebay.com/itm/407141610997,Speaker,179671,(not in our tree - In-Car Tech / Performance branch),40,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
52579,https://www.ebay.com/itm/407131749923,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),14,0,,car audio - amplifiers,no good target
52605,https://www.ebay.com/itm/407131750119,Wireless Phone Charger Module,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
52606,https://www.ebay.com/itm/407131750231,Suspension Module,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
52613,https://www.ebay.com/itm/407131750149,Decklid Liftgate Trunk Module,107062,(not in our tree - In-Car Tech / Performance branch),40,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
53005,https://www.ebay.com/itm/407131749975,Antenna Telematics Control Module,107062,(not in our tree - In-Car Tech / Performance branch),14,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
53094,https://www.ebay.com/itm/407151924408,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),14,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
5317,https://www.ebay.com/itm/407147141760,Monitor Display Screen,169395,(not in our tree - In-Car Tech / Performance branch),3,0,,in-car screens,no good target
53207,https://www.ebay.com/itm/407134409840,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),4,0,,car audio - amplifiers,no good target
53343,https://www.ebay.com/itm/407139085774,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),5,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
53398,https://www.ebay.com/itm/407151924398,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),13,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
53437,https://www.ebay.com/itm/407131750160,EKP Fuel Pump Module,107062,(not in our tree - In-Car Tech / Performance branch),21,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
53477,https://www.ebay.com/itm/407131750180,Suspension Module,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
53597,https://www.ebay.com/itm/407151911062,Bdc Body Domain Fem Control Module w/ Key,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
53606,https://www.ebay.com/itm/407087060927,Suspension Module,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
53631,https://www.ebay.com/itm/407087020483,Wireless Phone Charger Module,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
53655,https://www.ebay.com/itm/407139085960,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),6,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
53780,https://www.ebay.com/itm/407151882182,Steering Wheel Vibration Generator Motor w/ Module SET,107062,(not in our tree - In-Car Tech / Performance branch),15,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
54026,https://www.ebay.com/itm/407141649815,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),10,0,,car audio - amplifiers,no good target
5518,https://www.ebay.com/itm/407058980526,Surround View Camera Module,107062,(not in our tree - In-Car Tech / Performance branch),14,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
5579,https://www.ebay.com/itm/407141747552,Emergency Spare Wheel Rim Tire,179679,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheels",7,0,,"Wheels - eBay uses wheel specs, not vehicle fitment",no good target
5625,https://www.ebay.com/itm/407141752538,Emergency Spare Wheel Rim Tire Tool Kit SET,262265,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheel & Tire",7,0,,Spare tire tool kits,no good target
5650,https://www.ebay.com/itm/407132057762,Wireless Phone Charger Module,107062,(not in our tree - In-Car Tech / Performance branch),10,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
5657,https://www.ebay.com/itm/407132057778,Car Stereo Radio Reciever Headunit Head Unit,174119,(not in our tree - In-Car Tech / Performance branch),10,0,,car audio - head units,no good target
5776,https://www.ebay.com/itm/407132057293,Left or Right Speaker Subwoofer,38771,(not in our tree - In-Car Tech / Performance branch),10,0,,car audio - subwoofers,no good target
5779,https://www.ebay.com/itm/407132057426,Bdc Body Domain Fem Control Module,107062,(not in our tree - In-Car Tech / Performance branch),10,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
5794,https://www.ebay.com/itm/407132057785,PDC Park Assist Control Module,107062,(not in our tree - In-Car Tech / Performance branch),10,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
5798,https://www.ebay.com/itm/407146791413,Front Bumper Radiator Air Flap Shutter Motor Actuator,107062,(not in our tree - In-Car Tech / Performance branch),10,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
5818,https://www.ebay.com/itm/407139850911,Emergency Spare Wheel Rim Tire Tool Kit SET,262265,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheel & Tire",7,0,,Spare tire tool kits,no good target
5876,https://www.ebay.com/itm/407132057705,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),10,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
5879,https://www.ebay.com/itm/407132057912,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),10,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
5904,https://www.ebay.com/itm/407132057552,Speakers SET,179671,(not in our tree - In-Car Tech / Performance branch),10,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
595,https://www.ebay.com/itm/407131726543,Antenna Telematics Control Module,107062,(not in our tree - In-Car Tech / Performance branch),16,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
5995,https://www.ebay.com/itm/407132057347,PCU Power Voltage Module,107062,(not in our tree - In-Car Tech / Performance branch),10,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60005,https://www.ebay.com/itm/407136686219,Monitor Display Screen,169395,(not in our tree - In-Car Tech / Performance branch),12,0,,in-car screens,no good target
60006,https://www.ebay.com/itm/407147047921,Antenna Telematics Control Module,107062,(not in our tree - In-Car Tech / Performance branch),12,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60007,https://www.ebay.com/itm/407136735618,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),12,0,,car audio - amplifiers,no good target
60040,https://www.ebay.com/itm/407043774282,Suspension Module,107062,(not in our tree - In-Car Tech / Performance branch),12,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60043,https://www.ebay.com/itm/407133466146,BCM Body Control Module,107062,(not in our tree - In-Car Tech / Performance branch),12,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60052,https://www.ebay.com/itm/407136902672,Steering Wheel Vibration Generator Motor w/ Module SET,107062,(not in our tree - In-Car Tech / Performance branch),12,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60114,https://www.ebay.com/itm/407136853583,Car Stereo Radio Reciever Headunit Head Unit,174119,(not in our tree - In-Car Tech / Performance branch),3,0,,car audio - head units,no good target
60116,https://www.ebay.com/itm/407147024852,Left Right Seat Speaker Subwoofer SET,38771,(not in our tree - In-Car Tech / Performance branch),3,0,,car audio - subwoofers,no good target
60162,https://www.ebay.com/itm/407137143382,Bdc Body Domain Fem Control Module,107062,(not in our tree - In-Car Tech / Performance branch),3,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60186,https://www.ebay.com/itm/407136907602,Antenna Telematics Control Module,107062,(not in our tree - In-Car Tech / Performance branch),3,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60187,https://www.ebay.com/itm/407136906769,BCM Body Control Module,107062,(not in our tree - In-Car Tech / Performance branch),3,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60193,https://www.ebay.com/itm/407136819449,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),3,0,,car audio - amplifiers,no good target
60277,https://www.ebay.com/itm/407136825326,PDC Park Assist Control Module,107062,(not in our tree - In-Car Tech / Performance branch),3,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60358,https://www.ebay.com/itm/407127842475,Radio Control Panel,174119,(not in our tree - In-Car Tech / Performance branch),6,0,,car audio - head units,no good target
60359,https://www.ebay.com/itm/407127842523,Car Stereo Radio Reciever Headunit Head Unit,174119,(not in our tree - In-Car Tech / Performance branch),6,0,,car audio - head units,no good target
60360,https://www.ebay.com/itm/407134464999,Bdc Body Domain Fem Control Module w/ Key,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60361,https://www.ebay.com/itm/407127903676,Antenna Telematics Control Module,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60363,https://www.ebay.com/itm/407127903682,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),6,0,,car audio - amplifiers,no good target
60602,https://www.ebay.com/itm/407147142207,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),11,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60607,https://www.ebay.com/itm/407147126844,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),11,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60608,https://www.ebay.com/itm/407147126403,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),11,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60850,https://www.ebay.com/itm/407136869263,Car Stereo Radio Reciever Headunit Head Unit,174119,(not in our tree - In-Car Tech / Performance branch),6,0,,car audio - head units,no good target
60855,https://www.ebay.com/itm/407136869343,Front Right Passenger Door Triangle Corner Speaker Assembly,179671,(not in our tree - In-Car Tech / Performance branch),6,0,,car audio - no Car&Truck equivalent; likely stays as is,no good target
60863,https://www.ebay.com/itm/407136869143,BCM Body Control Module,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60865,https://www.ebay.com/itm/407136880933,FRM Headlight Footwell Module,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
60919,https://www.ebay.com/itm/407137027478,Left Right Seat Speaker Subwoofer SET,38771,(not in our tree - In-Car Tech / Performance branch),6,0,,car audio - subwoofers,no good target
60922,https://www.ebay.com/itm/407139338957,Monitor Display Screen,169395,(not in our tree - In-Car Tech / Performance branch),6,0,,in-car screens,no good target
61059,https://www.ebay.com/itm/407151836081,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61096,https://www.ebay.com/itm/407132012742,Wheel Rim,179679,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheels",17,0,,"Wheels - eBay uses wheel specs, not vehicle fitment",no good target
61110,https://www.ebay.com/itm/407144419196,PDC Park Assist Control Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61111,https://www.ebay.com/itm/407119641222,Decklid Liftgate Trunk Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61149,https://www.ebay.com/itm/407139338104,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61150,https://www.ebay.com/itm/407110931902,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61151,https://www.ebay.com/itm/407139338438,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),6,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61154,https://www.ebay.com/itm/407144444669,Car Stereo Radio Reciever Headunit Head Unit,174119,(not in our tree - In-Car Tech / Performance branch),7,0,,car audio - head units,no good target
61162,https://www.ebay.com/itm/407144487935,Antenna Telematics Control Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61264,https://www.ebay.com/itm/407144556036,Front Bumper Radiator Air Flap Shutter Motor Actuator,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61265,https://www.ebay.com/itm/407144555749,Front Bumper Radiator Air Flap Shutter Motor Actuator,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61437,https://www.ebay.com/itm/407134596595,Bdc Body Domain Fem Control Module w/ Key,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61457,https://www.ebay.com/itm/407144796818,RDC TPMS Tire Pressure Monitoring System Module,107062,(not in our tree - In-Car Tech / Performance branch),7,0,33596,"Starters, Alternators, ECUs & Wiring > ECUs & Computer Modules",YES - moving this would show fitment
61520,https://www.ebay.com/itm/407144846944,Stereo Audio Amp Amplifier,21647,(not in our tree - In-Car Tech / Performance branch),7,0,,car audio - amplifiers,no good target
61570,https://www.ebay.com/itm/407132013825,Wheel Rim,179679,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheels",17,0,,"Wheels - eBay uses wheel specs, not vehicle fitment",no good target
61571,https://www.ebay.com/itm/407132013864,Wheel Rim,179679,"Car & Truck Parts & Accessories > Wheels, Tires & Parts > Wheels",17,0,,"Wheels - eBay uses wheel specs, not vehicle fitment",no good target
